Sequence name,Lineage,Probability,Most common countries,Number of taxa,Date range,Days since last sampling
USA/NY-NYUMC264/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC265/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC266/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC267/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC268/2020,B.2,1.0,"UK, USA, Spain",1793,"January-16, July-22",59
USA/NY-NYUMC269/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC27/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC270/2020,B.1,0.86,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC271/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",30
USA/NY-NYUMC272/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC273/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC274/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC275/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC276/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC277/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC278/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC279/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC28/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC280/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC281/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC282/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC283/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC284/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC285/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC286/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC287/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC288/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC289/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC29/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC290/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC291/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC292/2020,B,1.0,"UK, China, USA",1096,"December-24, July-02",79
USA/NY-NYUMC293/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
USA/NY-NYUMC294/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC295/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",31
USA/NY-NYUMC296/2020,B.1,1.0,"UK, USA, Australia",10651,"February-21, August-19",30
USA/NY-NYUMC297/2020,B.1.3,1.0,"USA, UK, Israel",451,"March-05, July-29",52
